18:06:30.652 [main] INFO  c.e.s.SpringbootLogApplication - [logStarting,55] - Starting SpringbootLogApplication on LAPTOP-6F6I7BED with PID 25044 (C:\Users\Thomas\IdeaProjects\springCloud\springboot-log\target\classes started by Thomas in C:\Users\Thomas\IdeaProjects\springCloud)
18:06:30.656 [main] INFO  c.e.s.SpringbootLogApplication - [logStartupProfileInfo,655] - The following profiles are active: dev
18:06:31.215 [main] INFO  c.u.j.c.EnableEncryptablePropertiesBeanFactoryPostProcessor - [postProcessBeanFactory,50] - Post-processing PropertySource instances
18:06:31.283 [main] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,38] - Converting PropertySource configurationProperties [org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource] to AOP Proxy
18:06:31.292 [main] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,38] - Converting PropertySource servletConfigInitParams [org.springframework.core.env.PropertySource$StubPropertySource] to EncryptablePropertySourceWrapper
18:06:31.292 [main] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,38] - Converting PropertySource servletContextInitParams [org.springframework.core.env.PropertySource$StubPropertySource] to EncryptablePropertySourceWrapper
18:06:31.294 [main] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,38] - Converting PropertySource systemProperties [org.springframework.core.env.PropertiesPropertySource] to EncryptableMapPropertySourceWrapper
18:06:31.294 [main] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,38] - Converting PropertySource systemEnvironment [org.springframework.boot.env.SystemEnvironmentPropertySourceEnvironmentPostProcessor$OriginAwareSystemEnvironmentPropertySource] to EncryptableMapPropertySourceWrapper
18:06:31.294 [main] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,38] - Converting PropertySource random [org.springframework.boot.env.RandomValuePropertySource] to EncryptablePropertySourceWrapper
18:06:31.294 [main] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,38] - Converting PropertySource applicationConfig: [classpath:/application.yml] [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper
18:06:31.314 [main] INFO  c.u.j.f.DefaultLazyPropertyFilter - [lambda$null$2,31] - Property Filter custom Bean not found with name 'encryptablePropertyFilter'. Initializing Default Property Filter
18:06:31.660 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8898"]
18:06:31.660 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
18:06:31.660 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.31]
18:06:31.784 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
18:06:31.849 [main] INFO  c.u.j.r.DefaultLazyPropertyResolver - [lambda$null$2,31] - Property Resolver custom Bean not found with name 'encryptablePropertyResolver'. Initializing Default Property Resolver
18:06:31.852 [main] INFO  c.u.j.d.DefaultLazyPropertyDetector - [lambda$null$2,30] - Property Detector custom Bean not found with name 'encryptablePropertyDetector'. Initializing Default Property Detector
18:06:31.853 [main] INFO  c.u.j.e.DefaultLazyEncryptor - [lambda$null$2,32] - String Encryptor custom Bean not found with name 'jasyptStringEncryptor'. Initializing Default String Encryptor
18:06:31.859 [main] INFO  c.u.j.e.DefaultLazyEncryptor - [getProperty,58] - Encryptor config not found for property jasypt.encryptor.algorithm, using default value: PBEWithMD5AndDES
18:06:31.861 [main] INFO  c.u.j.e.DefaultLazyEncryptor - [getProperty,58] - Encryptor config not found for property jasypt.encryptor.keyObtentionIterations, using default value: 1000
18:06:31.861 [main] INFO  c.u.j.e.DefaultLazyEncryptor - [getProperty,58] - Encryptor config not found for property jasypt.encryptor.poolSize, using default value: 1
18:06:31.861 [main] INFO  c.u.j.e.DefaultLazyEncryptor - [getProperty,58] - Encryptor config not found for property jasypt.encryptor.providerName, using default value: null
18:06:31.861 [main] INFO  c.u.j.e.DefaultLazyEncryptor - [getProperty,58] - Encryptor config not found for property jasypt.encryptor.providerClassName, using default value: null
18:06:31.861 [main] INFO  c.u.j.e.DefaultLazyEncryptor - [getProperty,58] - Encryptor config not found for property jasypt.encryptor.saltGeneratorClassname, using default value: org.jasypt.salt.RandomSaltGenerator
18:06:31.861 [main] INFO  c.u.j.e.DefaultLazyEncryptor - [getProperty,58] - Encryptor config not found for property jasypt.encryptor.stringOutputType, using default value: base64
18:06:32.665 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8898"]
18:06:32.687 [main] INFO  c.e.s.SpringbootLogApplication - [logStarted,61] - Started SpringbootLogApplication in 2.372 seconds (JVM running for 3.31)
18:07:50.064 [main] INFO  c.e.s.SpringbootLogApplication - [logStarting,55] - Starting SpringbootLogApplication on LAPTOP-6F6I7BED with PID 12672 (C:\Users\Thomas\IdeaProjects\springCloud\springboot-log\target\classes started by Thomas in C:\Users\Thomas\IdeaProjects\springCloud)
18:07:50.067 [main] INFO  c.e.s.SpringbootLogApplication - [logStartupProfileInfo,655] - The following profiles are active: dev
18:07:50.584 [main] INFO  c.u.j.c.EnableEncryptablePropertiesBeanFactoryPostProcessor - [postProcessBeanFactory,50] - Post-processing PropertySource instances
18:07:50.627 [main] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,38] - Converting PropertySource configurationProperties [org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource] to AOP Proxy
18:07:50.628 [main] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,38] - Converting PropertySource servletConfigInitParams [org.springframework.core.env.PropertySource$StubPropertySource] to EncryptablePropertySourceWrapper
18:07:50.628 [main] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,38] - Converting PropertySource servletContextInitParams [org.springframework.core.env.PropertySource$StubPropertySource] to EncryptablePropertySourceWrapper
18:07:50.628 [main] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,38] - Converting PropertySource systemProperties [org.springframework.core.env.PropertiesPropertySource] to EncryptableMapPropertySourceWrapper
18:07:50.629 [main] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,38] - Converting PropertySource systemEnvironment [org.springframework.boot.env.SystemEnvironmentPropertySourceEnvironmentPostProcessor$OriginAwareSystemEnvironmentPropertySource] to EncryptableMapPropertySourceWrapper
18:07:50.629 [main] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,38] - Converting PropertySource random [org.springframework.boot.env.RandomValuePropertySource] to EncryptablePropertySourceWrapper
18:07:50.629 [main] INFO  c.u.j.EncryptablePropertySourceConverter - [makeEncryptable,38] - Converting PropertySource applicationConfig: [classpath:/application.yml] [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper
18:07:50.645 [main] INFO  c.u.j.f.DefaultLazyPropertyFilter - [lambda$null$2,31] - Property Filter custom Bean not found with name 'encryptablePropertyFilter'. Initializing Default Property Filter
18:07:50.964 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8898"]
18:07:50.964 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
18:07:50.964 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.31]
18:07:51.057 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
18:07:51.094 [main] INFO  c.u.j.r.DefaultLazyPropertyResolver - [lambda$null$2,31] - Property Resolver custom Bean not found with name 'encryptablePropertyResolver'. Initializing Default Property Resolver
18:07:51.096 [main] INFO  c.u.j.d.DefaultLazyPropertyDetector - [lambda$null$2,30] - Property Detector custom Bean not found with name 'encryptablePropertyDetector'. Initializing Default Property Detector
18:07:51.097 [main] INFO  c.u.j.e.DefaultLazyEncryptor - [lambda$null$2,32] - String Encryptor custom Bean not found with name 'jasyptStringEncryptor'. Initializing Default String Encryptor
18:07:51.102 [main] INFO  c.u.j.e.DefaultLazyEncryptor - [getProperty,58] - Encryptor config not found for property jasypt.encryptor.algorithm, using default value: PBEWithMD5AndDES
18:07:51.102 [main] INFO  c.u.j.e.DefaultLazyEncryptor - [getProperty,58] - Encryptor config not found for property jasypt.encryptor.keyObtentionIterations, using default value: 1000
18:07:51.103 [main] INFO  c.u.j.e.DefaultLazyEncryptor - [getProperty,58] - Encryptor config not found for property jasypt.encryptor.poolSize, using default value: 1
18:07:51.103 [main] INFO  c.u.j.e.DefaultLazyEncryptor - [getProperty,58] - Encryptor config not found for property jasypt.encryptor.providerName, using default value: null
18:07:51.103 [main] INFO  c.u.j.e.DefaultLazyEncryptor - [getProperty,58] - Encryptor config not found for property jasypt.encryptor.providerClassName, using default value: null
18:07:51.103 [main] INFO  c.u.j.e.DefaultLazyEncryptor - [getProperty,58] - Encryptor config not found for property jasypt.encryptor.saltGeneratorClassname, using default value: org.jasypt.salt.RandomSaltGenerator
18:07:51.104 [main] INFO  c.u.j.e.DefaultLazyEncryptor - [getProperty,58] - Encryptor config not found for property jasypt.encryptor.stringOutputType, using default value: base64
18:07:51.733 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8898"]
18:07:51.749 [main] INFO  c.e.s.SpringbootLogApplication - [logStarted,61] - Started SpringbootLogApplication in 1.966 seconds (JVM running for 2.899)
